Title,ISBN,Language,Publication_year,First_name,Last_name,Birth_date,Birth_city,Name
Jubilee,343838580-5,English,2015,Rubie,Delgua,1970-06-03,Los Angeles,Addison-Wesley
Jubilee,343838580-5,English,2015,Breanne,Weben,1989-11-13,London,Addison-Wesley
Jubilee,343838580-5,English,2015,Boycie,Shorey,1989-11-20,Amsterdam,Addison-Wesley
Raisin in the Sun A,469863297-8,Punjabi,2015,Fiorenze,Deluca,1984-07-22,Lawrence,Addison-Wesley
Raisin in the Sun A,469863297-8,Punjabi,2015,Hastings,Sweetman,1978-08-13,Los Angeles,Addison-Wesley
19th Wife The,371268896-2,Belarusian,2016,Alejandrina,Bardell,1962-10-25,Wilpen,Addison-Wesley
19th Wife The,371268896-2,Belarusian,2016,Briant,Anespie,1989-01-01,Los Angeles,Addison-Wesley
From the Life of the Marionettes (Aus dem Leben der Marionetten) ,542931356-4,Italian,2015,Hirsch,Legging,1961-12-19,Oxford,Addison-Wesley
From the Life of the Marionettes (Aus dem Leben der Marionetten) ,542931356-4,Italian,2015,Maible,Twidale,1963-01-29,Bloomington,Addison-Wesley
From the Life of the Marionettes (Aus dem Leben der Marionetten) ,542931356-4,Italian,2015,Emiline,Greenhough,1982-04-11,Madison,Addison-Wesley
From the Life of the Marionettes (Aus dem Leben der Marionetten) ,542931356-4,Italian,2015,Burk,Torr,1984-08-01,Bloomington,Addison-Wesley
From the Life of the Marionettes (Aus dem Leben der Marionetten) ,542931356-4,Italian,2015,Sansone,Jansen,1968-05-12,Lawrence,Addison-Wesley
Brides (Nyfes),752213396-3,Georgian,2012,Jodee,Westwick,1968-01-23,Liverpool,Pst Edizioni
Brides (Nyfes),752213396-3,Georgian,2012,Hirsch,Legging,1961-12-19,Oxford,Pst Edizioni
Brides (Nyfes),752213396-3,Georgian,2012,Hastings,Sweetman,1978-08-13,Los Angeles,Pst Edizioni
Pitch Black,255439894-1,English,2015,Booth,Belvard,1959-10-11,London,Pst Edizioni
Pitch Black,255439894-1,English,2015,Briant,Anespie,1989-01-01,Los Angeles,Pst Edizioni
Thieves The (Dodookdeul),887526619-0,Romanian,2011,Gregorius,McPhater,1976-12-04,Pleasantville,Pst Edizioni
Thieves The (Dodookdeul),887526619-0,Romanian,2011,Bryanty,Froud,1970-10-30,London,Pst Edizioni
Thieves The (Dodookdeul),887526619-0,Romanian,2011,Ursula,Lockitt,1967-12-14,Liverpool,Pst Edizioni
Thieves The (Dodookdeul),887526619-0,Romanian,2011,Breanne,Weben,1989-11-13,London,Pst Edizioni
Thieves The (Dodookdeul),887526619-0,Romanian,2011,Raquel,Semered,1972-03-21,Bloomington,Pst Edizioni
Closure,492112694-1,English,2018,Theo,McLauchlin,1961-03-01,Cardiff,Pst Edizioni
Closure,492112694-1,English,2018,Jodee,Westwick,1968-01-23,Liverpool,Pst Edizioni
Closure,492112694-1,English,2018,Hastings,Sweetman,1978-08-13,Los Angeles,Pst Edizioni
Wave The (Welle Die),469785019-X,English,2014,Gertrudis,Corzon,1983-06-21,Oxford,Pst Edizioni
Wave The (Welle Die),469785019-X,English,2014,Beverlee,Jepensen,1976-12-17,Cumberland,Pst Edizioni
Wave The (Welle Die),469785019-X,English,2014,Corri,Gavrieli,1974-06-30,London,Pst Edizioni
Rains of Ranchipur The,158999545-7,English,2012,Merissa,Senechault,1956-02-02,New York,Pst Edizioni
Rains of Ranchipur The,158999545-7,English,2012,Ursula,Lockitt,1967-12-14,Liverpool,Pst Edizioni
Convoy,989371762-0,German,2015,Bryanty,Froud,1970-10-30,London,Pst Edizioni
Convoy,989371762-0,German,2015,Maible,Twidale,1963-01-29,Bloomington,Pst Edizioni
Convoy,989371762-0,German,2015,Booth,Belvard,1959-10-11,London,Pst Edizioni
Convoy,989371762-0,German,2015,Marnie,Spinke,1987-09-07,Los Angeles,Pst Edizioni
Come Blow Your Horn,087133062-8,English,2013,Ramez,Elmasri,1970-02-16,Oxford,Pst Edizioni
Come Blow Your Horn,087133062-8,English,2013,Perrine,Blagden,1984-01-04,Washington,Pst Edizioni
Black Windmill The,449571196-2,English,2013,Ramez,Elmasri,1970-02-16,Oxford,Pst Edizioni
Nick and Norah s Infinite Playlist,671158165-2,Czech,2019,Cecile,Follacaro,1986-01-08,New York,Pst Edizioni
Nick and Norah s Infinite Playlist,671158165-2,Czech,2019,Jermaine,Van Velde,1979-04-23,Los Angeles,Pst Edizioni
Longest Yard The,014330257-4,Georgian,2010,Karie,Bendixen,1969-12-29,Amsterdam,Pst Edizioni
Longest Yard The,014330257-4,Georgian,2010,Sella,Marriage,1988-12-01,Madison,Pst Edizioni
No Distance Left to Run,192373118-1,English,2019,Pincas,Paulisch,1973-12-24,Berlino,Pst Edizioni
No Distance Left to Run,192373118-1,English,2019,Ami,Adamo,1978-08-10,Lawrence,Pst Edizioni
Last Ride,347737564-5,Haitian Creole,2019,Harlene,Tartt,1984-09-20,New York,Pst Edizioni
Last Ride,347737564-5,Haitian Creole,2019,Gil,Lettington,1974-08-11,Los Angeles,Pst Edizioni
Last Ride,347737564-5,Haitian Creole,2019,Rubie,Delgua,1970-06-03,Los Angeles,Pst Edizioni
Mon oncle d Amérique,136320382-7,English,2017,Bruno,Goodsall,1963-04-27,London,Pst Edizioni
Mon oncle d Amérique,136320382-7,English,2017,Merissa,Senechault,1956-02-02,New York,Pst Edizioni
Get Bruce,389625239-9,Hebrew,2020,Bartolemo,Chadwin,1969-07-22,Pleasantville,Dunning Editions
Dragon Ball Z Bio-Broly (Doragon bôru Z 11 Sûpâ senshi gekiha! Katsu no wa ore da),786395256-5,English,2019,Jefferson,Dewire,1971-02-16,Cardiff,Dunning Editions
Dragon Ball Z Bio-Broly (Doragon bôru Z 11 Sûpâ senshi gekiha! Katsu no wa ore da),786395256-5,English,2019,Cecile,Follacaro,1986-01-08,New York,Dunning Editions
Dragon Ball Z Bio-Broly (Doragon bôru Z 11 Sûpâ senshi gekiha! Katsu no wa ore da),786395256-5,English,2019,Merrick,Harbron,1959-11-09,Pleasantville,Dunning Editions
Suit for Wedding A (aka The Wedding Suit) (Lebassi Baraye Arossi),085745713-6,English,2020,Kerri,Adiscot,1980-06-28,Cumberland,Dunning Editions
Murder by Proxy How America Went Postal,801081738-4,English,2019,Gabriella,Orum,1958-11-21,Madison,Dunning Editions
Murder by Proxy How America Went Postal,801081738-4,English,2019,Branden,Huffer,1955-01-03,Bloomington,Dunning Editions
Cyrano de Bergerac,611928800-7,Korean,2017,Yancey,Sacher,1961-04-17,Lawrence,Dunning Editions
Heroine,023019395-1,Dzongkha,2013,Inesita,Dallender,1982-04-05,New York,Dunning Editions
Heroine,023019395-1,Dzongkha,2013,Sansone,Jansen,1968-05-12,Lawrence,Dunning Editions
Heroine,023019395-1,Dzongkha,2013,Boycie,Shorey,1989-11-20,Amsterdam,Dunning Editions
Heroine,023019395-1,Dzongkha,2013,Marnie,Spinke,1987-09-07,Los Angeles,Dunning Editions
Rollerball,595626866-2,Hungarian,2014,Burk,Torr,1984-08-01,Bloomington,Dunning Editions
Rollerball,595626866-2,Hungarian,2014,Inesita,Dallender,1982-04-05,New York,Dunning Editions
Carbon Nation,168316748-1,Portuguese,2012,Cointon,Stranaghan,1963-12-30,New York,Dunning Editions
Carbon Nation,168316748-1,Portuguese,2012,Fiorenze,Deluca,1984-07-22,Lawrence,Dunning Editions
Carbon Nation,168316748-1,Portuguese,2012,Marja,Rosedale,1989-03-25,New York,Dunning Editions
Times Square,744780754-0,English,2020,Hortense,Whatson,1978-08-25,Washington,Dunning Editions
Times Square,744780754-0,English,2020,Ramez,Elmasri,1970-02-16,Oxford,Dunning Editions
Times Square,744780754-0,English,2020,Raquel,Semered,1972-03-21,Bloomington,Dunning Editions
Tyler Perry s I Can Do Bad All by Myself,560211284-7,Italian,2018,Boycie,Shorey,1989-11-20,Amsterdam,Dunning Editions
Tyler Perry s I Can Do Bad All by Myself,560211284-7,Italian,2018,Barr,Labbet,1967-07-06,Lawrence,Dunning Editions
Deadline,663119553-5,Spanish,2015,Bryanty,Froud,1970-10-30,London,Dunning Editions
Hollywood Party,769740772-8,English,2018,Godwin,Lebbern,1983-11-16,San Diego,Dunning Editions
Hollywood Party,769740772-8,English,2018,Corri,Gavrieli,1974-06-30,London,Dunning Editions
Hollywood Party,769740772-8,English,2018,Sim,Frondt,1967-05-20,Bloomington,Dunning Editions
Hollywood Party,769740772-8,English,2018,Marnie,Spinke,1987-09-07,Los Angeles,Dunning Editions
Life is to Whistle (Vida es silbar La),421128511-4,English,2012,Booth,Belvard,1959-10-11,London,Dunning Editions
Life is to Whistle (Vida es silbar La),421128511-4,English,2012,Sella,Marriage,1988-12-01,Madison,Dunning Editions
Life is to Whistle (Vida es silbar La),421128511-4,English,2012,Emiline,Greenhough,1982-04-11,Madison,Dunning Editions
Life is to Whistle (Vida es silbar La),421128511-4,English,2012,Harlene,Tartt,1984-09-20,New York,Dunning Editions
Kirikou and the Wild Beast (Kirikou et les bêtes sauvages),978061177-0,Khmer,2010,Raquel,Semered,1972-03-21,Bloomington,Dunning Editions
Kirikou and the Wild Beast (Kirikou et les bêtes sauvages),978061177-0,Khmer,2010,Rubie,Delgua,1970-06-03,Los Angeles,Dunning Editions
Waydowntown,259579784-0,English,2018,Sim,Frondt,1967-05-20,Bloomington,Dunning Editions
Waydowntown,259579784-0,English,2018,Walker,Dumberell,1965-12-30,London,Dunning Editions
Waydowntown,259579784-0,English,2018,Ileane,Spurriar,1969-09-03,Los Angeles,Dunning Editions
Renaissance,554021569-9,English,2018,Fiorenze,Deluca,1984-07-22,Lawrence,Dunning Editions
Renaissance,554021569-9,English,2018,Jodee,Westwick,1968-01-23,Liverpool,Dunning Editions
Renaissance,554021569-9,English,2018,Boycie,Shorey,1989-11-20,Amsterdam,Dunning Editions
Renaissance,554021569-9,English,2018,Mirelle,Hehnke,1968-06-25,Los Angeles,Dunning Editions
Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),022938411-0,Guaraní,2014,Bryanty,Froud,1970-10-30,London,Dunning Editions
Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),022938411-0,Guaraní,2014,Merissa,Senechault,1956-02-02,New York,Dunning Editions
Almanya - Welcome to Germany (Almanya - Willkommen in Deutschland),022938411-0,Guaraní,2014,Gil,Lettington,1974-08-11,Los Angeles,Dunning Editions
Kleines Arschloch - Der Film,768148078-1,Korean,2017,Vitia,Douch,1977-08-20,London,Dunning Editions
Wall Street,600597433-5,English,2020,Jasen,Itter,1967-12-24,Madison,Dunning Editions
Human Failure (Menschliches Versagen),068254989-4,English,2014,Marnie,Spinke,1987-09-07,Los Angeles,Europa Edizioni
Human Failure (Menschliches Versagen),068254989-4,English,2014,Angil,Beckson,1956-05-01,Oxford,Europa Edizioni
Richard III,863050834-5,Chinese,2019,Ursula,Lockitt,1967-12-14,Liverpool,Europa Edizioni
Richard III,863050834-5,Chinese,2019,Merrick,Harbron,1959-11-09,Pleasantville,Europa Edizioni
Richard III,863050834-5,Chinese,2019,Leroy,Vasiltsov,1976-10-13,San Diego,Europa Edizioni
Key Largo,425111017-X,Estonian,2019,Xylia,Bendle,1975-01-01,Cumberland,Europa Edizioni
Key Largo,425111017-X,Estonian,2019,Jermaine,Van Velde,1979-04-23,Los Angeles,Europa Edizioni
Key Largo,425111017-X,Estonian,2019,Fanchon,Bish,1987-08-27,New York,Europa Edizioni
Animal House,265972215-3,English,2017,Erny,Wrixon,1967-02-25,Nashville,Europa Edizioni
Animal House,265972215-3,English,2017,Perrine,Blagden,1984-01-04,Washington,Europa Edizioni
Missionary Man,927994979-9,Dhivehi,2017,Fanchon,Bish,1987-08-27,New York,Europa Edizioni
Missionary Man,927994979-9,Dhivehi,2017,Barr,Labbet,1967-07-06,Lawrence,Europa Edizioni
Cars,101215590-0,English,2012,Margaretta,Pardal,1970-03-08,New York,Europa Edizioni
Cars,101215590-0,English,2012,Shelbi,Wheelton,1987-09-12,Los Angeles,Europa Edizioni
Cars,101215590-0,English,2012,Enrico,Zimuel,1972-04-11,Milan,Europa Edizioni
Cars,101215590-0,English,2012,Branden,Huffer,1955-01-03,Bloomington,Europa Edizioni
Cars,101215590-0,English,2012,Adamo,Ligoe,1971-03-26,New York,Europa Edizioni
Krrish,976860084-5,English,2016,Beverlee,Jepensen,1976-12-17,Cumberland,Europa Edizioni
Krrish,976860084-5,English,2016,Lavena,Capey,1972-02-17,Cumberland,Europa Edizioni
Krrish,976860084-5,English,2016,Hirsch,Legging,1961-12-19,Oxford,Europa Edizioni
Krrish,976860084-5,English,2016,Ileane,Spurriar,1969-09-03,Los Angeles,Europa Edizioni
Krrish,976860084-5,English,2016,Enrico,Zimuel,1972-04-11,Milan,Europa Edizioni
Krrish,976860084-5,English,2016,Ramez,Elmasri,1970-02-16,Oxford,Europa Edizioni
Krrish,976860084-5,English,2016,Perrine,Blagden,1984-01-04,Washington,Europa Edizioni
Krrish,976860084-5,English,2016,Bruno,Goodsall,1963-04-27,London,Europa Edizioni
Krrish,976860084-5,English,2016,Angil,Beckson,1956-05-01,Oxford,Europa Edizioni
Krrish,976860084-5,English,2016,Kerri,Adiscot,1980-06-28,Cumberland,Europa Edizioni
Ninotchka,384050463-5,Quechua,2017,Ursula,Lockitt,1967-12-14,Liverpool,Europa Edizioni
Ninotchka,384050463-5,Quechua,2017,Adamo,Ligoe,1971-03-26,New York,Europa Edizioni
Ninotchka,384050463-5,Quechua,2017,Bartolemo,Chadwin,1969-07-22,Pleasantville,Europa Edizioni
Ninotchka,384050463-5,Quechua,2017,Ami,Adamo,1978-08-10,Lawrence,Europa Edizioni
Happy People A Year in the Taiga,653175736-1,Swedish,2012,Ramez,Elmasri,1970-02-16,Oxford,Europa Edizioni
Happy People A Year in the Taiga,653175736-1,Swedish,2012,Isacco,McSherry,1976-04-17,Edimburg,Europa Edizioni
Happy People A Year in the Taiga,653175736-1,Swedish,2012,Ami,Adamo,1978-08-10,Lawrence,Europa Edizioni
Happy People A Year in the Taiga,653175736-1,Swedish,2012,Hortense,Whatson,1978-08-25,Washington,Europa Edizioni
Story of My Life The (Mensonges et trahisons et plus si affinités),760264513-8,English,2012,Marnie,Spinke,1987-09-07,Los Angeles,Europa Edizioni
Story of My Life The (Mensonges et trahisons et plus si affinités),760264513-8,English,2012,Marja,Rosedale,1989-03-25,New York,Europa Edizioni
Wolf Man The,836374770-X,Indonesian,2013,Sandro,Wilcher,1990-09-25,Nashville,Europa Edizioni
Wolf Man The,836374770-X,Indonesian,2013,Bartolemo,Chadwin,1969-07-22,Pleasantville,Europa Edizioni
Wolf Man The,836374770-X,Indonesian,2013,Jodee,Westwick,1968-01-23,Liverpool,Europa Edizioni
Day of the Triffids The,179592990-1,English,2011,Shamkant,Navathe,1962-11-24,London,Europa Edizioni
Day of the Triffids The,179592990-1,English,2011,Fanchon,Bish,1987-08-27,New York,Europa Edizioni
Deep Impact,385828979-5,Bengali,2019,Cristian,Pes,1981-09-10,New York,Europa Edizioni
Deep Impact,385828979-5,Bengali,2019,Brynn,Semor,1986-05-09,Oslo,Europa Edizioni
Deep Impact,385828979-5,Bengali,2019,Hortense,Whatson,1978-08-25,Washington,Europa Edizioni
Deep Impact,385828979-5,Bengali,2019,Giustina,Jezzard,1969-02-04,Pleasantville,Europa Edizioni
Deep Impact,385828979-5,Bengali,2019,Angil,Beckson,1956-05-01,Oxford,Europa Edizioni
Deep Impact,385828979-5,Bengali,2019,Merna,Lambal,1969-09-30,London,Europa Edizioni
Flight of the Living Dead,391578830-9,Kazakh,2014,Ursula,Lockitt,1967-12-14,Liverpool,Europa Edizioni
Dead Man Walking,052706515-3,English,2011,Vitia,Douch,1977-08-20,London,Europa Edizioni
Dead Man Walking,052706515-3,English,2011,Abey,Crowest,1965-07-20,New York,Europa Edizioni
Dead Man Walking,052706515-3,English,2011,Gwyneth,Tinsley,1986-05-12,Los Angeles,Europa Edizioni
High Spirits,256739345-5,Swedish,2016,Bruno,Goodsall,1963-04-27,London,Europa Edizioni
High Spirits,256739345-5,Swedish,2016,Harlene,Tartt,1984-09-20,New York,Europa Edizioni
South of Heaven West of Hell,346481000-3,English,2015,Ramez,Elmasri,1970-02-16,Oxford,Plaza Publicacionès
Larceny Inc,857627191-5,English,2012,Lavena,Capey,1972-02-17,Cumberland,Plaza Publicacionès
Larceny Inc,857627191-5,English,2012,Leroy,Vasiltsov,1976-10-13,San Diego,Plaza Publicacionès
Larceny Inc,857627191-5,English,2012,Merna,Lambal,1969-09-30,London,Plaza Publicacionès
Larceny Inc,857627191-5,English,2012,Godwin,Lebbern,1983-11-16,San Diego,Plaza Publicacionès
Act Da Fool,653073623-9,English,2020,Petunia,Breznovic,1981-02-19,Prague,Plaza Publicacionès
Lavender Hill Mob The,435456826-8,English,2016,Perrine,Blagden,1984-01-04,Washington,Plaza Publicacionès
Lavender Hill Mob The,435456826-8,English,2016,Fiorenze,Deluca,1984-07-22,Lawrence,Plaza Publicacionès
1208 East of Bucharest (A fost sau n-a fost?),601546113-6,Gujarati,2011,Leroy,Vasiltsov,1976-10-13,San Diego,Plaza Publicacionès
1208 East of Bucharest (A fost sau n-a fost?),601546113-6,Gujarati,2011,Shelbi,Wheelton,1987-09-12,Los Angeles,Plaza Publicacionès
Redemption The Stan Tookie Williams Story,501862280-6,Finnish,2011,Ramez,Elmasri,1970-02-16,Oxford,Plaza Publicacionès
Project X,829914597-X,English,2019,Angil,Beckson,1956-05-01,Oxford,Plaza Publicacionès
Project X,829914597-X,English,2019,Lewes,Salsberg,1988-05-18,Cumberland,Plaza Publicacionès
Project X,829914597-X,English,2019,Alejandrina,Bardell,1962-10-25,Wilpen,Plaza Publicacionès
Forbidden Christ The (Cristo proibito Il),970334328-7,Danish,2019,Mirelle,Hehnke,1968-06-25,Los Angeles,Plaza Publicacionès
Forbidden Christ The (Cristo proibito Il),970334328-7,Danish,2019,Lu,Jenne,1977-01-11,Seul,Plaza Publicacionès
Forbidden Christ The (Cristo proibito Il),970334328-7,Danish,2019,Mirelle,Hehnke,1968-06-25,Los Angeles,Plaza Publicacionès
Forbidden Christ The (Cristo proibito Il),970334328-7,Danish,2019,Ileane,Spurriar,1969-09-03,Los Angeles,Plaza Publicacionès
Forbidden Christ The (Cristo proibito Il),970334328-7,Danish,2019,Erny,Wrixon,1967-02-25,Nashville,Plaza Publicacionès
Forbidden Christ The (Cristo proibito Il),970334328-7,Danish,2019,Gwyneth,Tinsley,1986-05-12,Los Angeles,Plaza Publicacionès
Forbidden Christ The (Cristo proibito Il),970334328-7,Danish,2019,Bartolemo,Chadwin,1969-07-22,Pleasantville,Plaza Publicacionès
Stingray Sam,086031288-7,Polish,2019,Adamo,Ligoe,1971-03-26,New York,Plaza Publicacionès
Stingray Sam,086031288-7,Polish,2019,Beverlee,Jepensen,1976-12-17,Cumberland,Plaza Publicacionès
Angels  Share The,733508116-5,English,2017,Pincas,Paulisch,1973-12-24,Berlino,Plaza Publicacionès
Private Detective 62,055417113-9,English,2017,Raquel,Semered,1972-03-21,Bloomington,Plaza Publicacionès
Private Detective 62,055417113-9,English,2017,Godwin,Lebbern,1983-11-16,San Diego,Plaza Publicacionès
The Frame,515279116-1,English,2010,Ursula,Lockitt,1967-12-14,Liverpool,Plaza Publicacionès
The Frame,515279116-1,English,2010,Alejandrina,Bardell,1962-10-25,Wilpen,Plaza Publicacionès
The Frame,515279116-1,English,2010,Sandro,Wilcher,1990-09-25,Nashville,Plaza Publicacionès
The Frame,515279116-1,English,2010,Peri,Maher,1967-04-08,Wilpen,Plaza Publicacionès
The Frame,515279116-1,English,2010,Alessandro,Oldam,1972-07-09,New York,Plaza Publicacionès
The Frame,515279116-1,English,2010,Luciano,Gamberini,1979-11-08,Rome,Plaza Publicacionès
The Frame,515279116-1,English,2010,Maible,Twidale,1963-01-29,Bloomington,Plaza Publicacionès
The Frame,515279116-1,English,2010,Shelbi,Wheelton,1987-09-12,Los Angeles,Plaza Publicacionès
Ironclad,184722570-5,Kashmiri,2011,Gregorius,McPhater,1976-12-04,Pleasantville,Plaza Publicacionès
Ironclad,184722570-5,Kashmiri,2011,Sansone,Jansen,1968-05-12,Lawrence,Plaza Publicacionès
Ironclad,184722570-5,Kashmiri,2011,Brynn,Semor,1986-05-09,Oslo,Plaza Publicacionès
Général Idi Amin Dada A Self Portrait (Général Idi Amin Dada Autoportrait),521329516-9,English,2015,Boycie,Shorey,1989-11-20,Amsterdam,Plaza Publicacionès
Général Idi Amin Dada A Self Portrait (Général Idi Amin Dada Autoportrait),521329516-9,English,2015,Bruno,Goodsall,1963-04-27,London,Plaza Publicacionès
Général Idi Amin Dada A Self Portrait (Général Idi Amin Dada Autoportrait),521329516-9,English,2015,Marja,Rosedale,1989-03-25,New York,Plaza Publicacionès
Under the Bridges (Unter den Brücken),742437654-3,Swedish,2016,Jermaine,Van Velde,1979-04-23,Los Angeles,Plaza Publicacionès
Sergeant Rutledge,372098427-3,Arabic,2011,Briant,Anespie,1989-01-01,Los Angeles,Plaza Publicacionès
Sergeant Rutledge,372098427-3,Arabic,2011,Corri,Gavrieli,1974-06-30,London,Plaza Publicacionès
Sergeant Rutledge,372098427-3,Arabic,2011,Marja,Rosedale,1989-03-25,New York,Plaza Publicacionès
Salvage,190222315-2,Belarusian,2014,Roxy,Burnage,1955-04-13,Oxford,Plaza Publicacionès
Salvage,190222315-2,Belarusian,2014,Andrej,Von Der Empten,1989-12-17,Amsterdam,Plaza Publicacionès
Holy Flying Circus,521847642-0,English,2016,Kerri,Adiscot,1980-06-28,Cumberland,Plaza Publicacionès
Holy Flying Circus,521847642-0,English,2016,Cecile,Follacaro,1986-01-08,New York,Plaza Publicacionès
In the Park,264788349-1,Haitian Creole,2018,Maible,Twidale,1963-01-29,Bloomington,Plaza Publicacionès
In the Park,264788349-1,Haitian Creole,2018,Inesita,Dallender,1982-04-05,New York,Plaza Publicacionès
In the Park,264788349-1,Haitian Creole,2018,Lavena,Capey,1972-02-17,Cumberland,Plaza Publicacionès
Love s Labour s Lost,368515943-7,Czech,2011,Zilvia,Silver,1958-04-25,Nashville,Plaza Publicacionès
Love s Labour s Lost,368515943-7,Czech,2011,Cecile,Follacaro,1986-01-08,New York,Plaza Publicacionès
Inhale,259418123-4,English,2011,Sansone,Jansen,1968-05-12,Lawrence,Plaza Publicacionès
Counterfeiters The (Die Fälscher),006821799-4,Estonian,2018,Reta,Philippsohn,1966-10-08,Washington,Plaza Publicacionès
Counterfeiters The (Die Fälscher),006821799-4,Estonian,2018,Russ,Leander,1959-11-16,Oxford,Plaza Publicacionès
Counterfeiters The (Die Fälscher),006821799-4,Estonian,2018,Ileane,Spurriar,1969-09-03,Los Angeles,Plaza Publicacionès
Counterfeiters The (Die Fälscher),006821799-4,Estonian,2018,Reta,Philippsohn,1966-10-08,Washington,Plaza Publicacionès
Mondays in the Sun (Lunes al sol Los),060088686-7,English,2019,Ange,Symcox,1977-07-01,Paris,Plaza Publicacionès
Mondays in the Sun (Lunes al sol Los),060088686-7,English,2019,Sim,Frondt,1967-05-20,Bloomington,Plaza Publicacionès
Mondays in the Sun (Lunes al sol Los),060088686-7,English,2019,Merissa,Senechault,1956-02-02,New York,Plaza Publicacionès
Sting II The,966859767-2,English,2020,Roxy,Burnage,1955-04-13,Oxford,Plaza Publicacionès
Sting II The,966859767-2,English,2020,Luciano,Gamberini,1979-11-08,Rome,Plaza Publicacionès
Lost City The,666013383-6,English,2014,Sandro,Wilcher,1990-09-25,Nashville,Meaning
Lost City The,666013383-6,English,2014,Hirsch,Legging,1961-12-19,Oxford,Meaning
Lost City The,666013383-6,English,2014,Brynn,Semor,1986-05-09,Oslo,Meaning
Lost City The,666013383-6,English,2014,Xylia,Bendle,1975-01-01,Cumberland,Meaning
Lost City The,666013383-6,English,2014,Karie,Bendixen,1969-12-29,Amsterdam,Meaning
Lost City The,666013383-6,English,2014,Ludvig,Callf,1971-06-05,London,Meaning
Lost City The,666013383-6,English,2014,Peri,Maher,1967-04-08,Wilpen,Meaning
Boys from Fengkuei The (Feng gui lai de ren),351898785-2,Portuguese,2016,Farrah,Letham,1962-07-15,Oxford,Meaning
Boys from Fengkuei The (Feng gui lai de ren),351898785-2,Portuguese,2016,Gil,Lettington,1974-08-11,Los Angeles,Meaning
I m Reed Fish,775940054-3,Kashmiri,2017,Zilvia,Silver,1958-04-25,Nashville,Meaning
I m Reed Fish,775940054-3,Kashmiri,2017,Merrick,Harbron,1959-11-09,Pleasantville,Meaning
Teaching Mrs Tingle,584224789-5,English,2020,Enrico,Zimuel,1972-04-11,Milan,Meaning
Teaching Mrs Tingle,584224789-5,English,2020,Margaretha,Aysik,1973-03-18,Washington,Meaning
Teaching Mrs Tingle,584224789-5,English,2020,Abey,Crowest,1965-07-20,New York,Meaning
Teaching Mrs Tingle,584224789-5,English,2020,Cristian,Pes,1981-09-10,New York,Meaning
Wild River,300485539-9,Dzongkha,2012,Jodee,Westwick,1968-01-23,Liverpool,Meaning
Wild River,300485539-9,Dzongkha,2012,Russ,Leander,1959-11-16,Oxford,Meaning
Wild River,300485539-9,Dzongkha,2012,Barr,Labbet,1967-07-06,Lawrence,Meaning
Iron Horse The,860964250-X,Japanese,2013,Hannah,Bachnic,1956-06-22,Madison,Meaning
Iron Horse The,860964250-X,Japanese,2013,Gabriella,Orum,1958-11-21,Madison,Meaning
Iron Horse The,860964250-X,Japanese,2013,Maible,Twidale,1963-01-29,Bloomington,Meaning
Iron Horse The,860964250-X,Japanese,2013,Cristian,Pes,1981-09-10,New York,Meaning
Iron Horse The,860964250-X,Japanese,2013,Hannah,Bachnic,1956-06-22,Madison,Meaning
Iron Horse The,860964250-X,Japanese,2013,Cal,Inkin,1969-11-22,Oxford,Meaning
Heaven s Prisoners,672217513-8,Bengali,2014,Merrick,Harbron,1959-11-09,Pleasantville,Meaning
Heaven s Prisoners,672217513-8,Bengali,2014,Luciano,Gamberini,1979-11-08,Rome,Meaning
Cassandra Crossing The,945660604-X,Arabic,2016,Sella,Marriage,1988-12-01,Madison,Meaning
Cassandra Crossing The,945660604-X,Arabic,2016,Cointon,Stranaghan,1963-12-30,New York,Meaning
Cassandra Crossing The,945660604-X,Arabic,2016,Cal,Inkin,1969-11-22,Oxford,Meaning
Cassandra Crossing The,945660604-X,Arabic,2016,Giffer,Leisman,1959-05-25,Los Angeles,Meaning
Cassandra Crossing The,945660604-X,Arabic,2016,Nicki,Pharrow,1984-09-16,Los Angeles,Meaning
Crocodile Hunter Collision Course The,711604128-1,English,2014,Yancey,Sacher,1961-04-17,Lawrence,Meaning
Crocodile Hunter Collision Course The,711604128-1,English,2014,Reta,Philippsohn,1966-10-08,Washington,Meaning
Crocodile Hunter Collision Course The,711604128-1,English,2014,Cristian,Pes,1981-09-10,New York,Meaning
Thief of Hearts,000369692-8,English,2016,Betti,Benz,1977-08-05,Berlino,Meaning
Thief of Hearts,000369692-8,English,2016,Jermaine,Van Velde,1979-04-23,Los Angeles,Meaning
Thief of Hearts,000369692-8,English,2016,Yancey,Sacher,1961-04-17,Lawrence,Meaning
Big Squeeze The,516983356-3,English,2014,Ramez,Elmasri,1970-02-16,Oxford,Meaning
Little Children,756564271-1,English,2014,Angil,Beckson,1956-05-01,Oxford,Meaning
Little Children,756564271-1,English,2014,Chelsea,Nannetti,1973-04-14,San Diego,Meaning
Little Children,756564271-1,English,2014,Hastings,Sweetman,1978-08-13,Los Angeles,Meaning
Million Ways to Die in the West A,875127371-3,Norwegian,2014,Boycie,Shorey,1989-11-20,Amsterdam,Meaning
Million Ways to Die in the West A,875127371-3,Norwegian,2014,Karie,Bendixen,1969-12-29,Amsterdam,Meaning
Million Ways to Die in the West A,875127371-3,Norwegian,2014,Rubie,Delgua,1970-06-03,Los Angeles,Meaning
